id,name,type,league
KBa,Krasimir Balakov,1,1
FFo,Franco Foda,1,1
FS,Frank Schäfer,1,1
HSt,Holger Stanislawski,1,1
OR,Otto Rehhagel,1,1
JLu,Jos Luhukay,1,1
MW,Markus Weinzierl,1,1
FMa,Felix Magath,1,1
LGK,Lorenz-Günther Köstner,1,1
MBab,Markus Babbel,1,1
FKr,Frank Kramer,1,1
HS,Huub Stevens,1,1
JK,Jens Keller,1,1
MKu,Marco Kurz,1,1
DH,Dieter Hecking,1,1
MWi,Michael Wiesinger,1,1
MBü,Mike Büskens,1,1
LP,Ludwig Preis,1,1
MG,Markus Gisdol,1,1
TS,Thomas Schaaf,1,1
WR,Wolfgang Rolff,1,1
FCKa,1. FC Kaiserslautern,2,1
FCK,1. FC Köln,2,1
BSC,Hertha BSC,2,1
FCA,FC Augsburg,2,1
VfLW,VfL Wolfsburg,2,1
TSGH,TSG Hoffenheim,2,1
S04,Schalke 04,2,1
FCN,1. FC Nürnberg,2,1
SGF,SpVgg Greuther Fürth,2,1
SVW,Werder Bremen,2,1
